ФИО пассажира,Номер каюты,Тип каюты,Порт назначения
Смирнов Пётр,107,Люкс,Мурманск
Иванов Дмитрий,107,Люкс,Одесса
Козлов Анна,107,Люкс,Одесса
Новикова Анна,107,3,Одесса
Петрова Анна,107,3,Одесса
Иванов Пётр,107,2,Санкт-Петербург
Козлов Сергей,107,Люкс,Санкт-Петербург
Кузнецова Анна,107,Люкс,Санкт-Петербург
Кузнецова Наталья,107,1,Санкт-Петербург
Лебедева Наталья,107,2,Санкт-Петербург
Новикова Пётр,107,Люкс,Санкт-Петербург
Сидоров Наталья,107,1,Санкт-Петербург
Смирнов Дмитрий,107,1,Санкт-Петербург
Смирнов Наталья,107,Люкс,Санкт-Петербург
Кузнецова Мария,107,3,Севастополь
Петрова Алексей,107,Люкс,Севастополь
Петрова Ольга,107,2,Севастополь
Смирнов Пётр,107,1,Севастополь
Козлов Сергей,108,1,Владивосток
Новикова Анна,108,2,Владивосток
Новикова Наталья,108,3,Владивосток
Попова Алексей,108,3,Владивосток
Попова Мария,108,3,Владивосток
Сидоров Пётр,108,1,Владивосток
Смирнов Алексей,108,Люкс,Владивосток
Соколов Анна,108,1,Владивосток
Козлов Сергей,108,1,Калининград
Смирнов Пётр,108,Люкс,Калининград
Смирнов Сергей,108,3,Калининград
Кузнецова Мария,108,3,Мурманск
Петрова Иван,108,2,Мурманск
Сидоров Сергей,108,3,Мурманск
Иванов Пётр,108,2,Одесса
Кузнецова Екатерина,108,1,Одесса
Лебедева Сергей,108,1,Одесса
Смирнов Пётр,108,3,Одесса
Кузнецова Анна,108,Люкс,Санкт-Петербург
Лебедева Дмитрий,108,2,Санкт-Петербург
Лебедева Наталья,108,1,Санкт-Петербург
Смирнов Анна,108,Люкс,Санкт-Петербург
Петрова Наталья,108,Люкс,Севастополь
Попова Анна,108,3,Севастополь
Иванов Мария,109,Люкс,Владивосток
Попова Ольга,109,3,Владивосток
Иванов Ольга,109,1,Калининград
Иванов Алексей,109,3,Мурманск
Кузнецова Мария,109,1,Мурманск
Попова Дмитрий,109,Люкс,Мурманск
Сидоров Анна,109,3,Мурманск
Сидоров Пётр,109,Люкс,Мурманск
Смирнов Дмитрий,109,Люкс,Мурманск
Лебедева Екатерина,109,3,Одесса
Лебедева Наталья,109,1,Одесса
Лебедева Ольга,109,2,Одесса
Лебедева Сергей,109,2,Одесса
Новикова Сергей,109,Люкс,Одесса
Петрова Екатерина,109,2,Одесса
Петрова Наталья,109,2,Одесса
Петрова Ольга,109,2,Одесса
Соколов Екатерина,109,3,Одесса
Соколов Ольга,109,Люкс,Одесса
Кузнецова Иван,109,1,Санкт-Петербург
Попова Пётр,109,1,Санкт-Петербург
Иванов Наталья,109,3,Севастополь
Иванов Сергей,109,1,Севастополь
Кузнецова Екатерина,109,2,Севастополь
Лебедева Мария,109,3,Севастополь
Петрова Анна,109,2,Севастополь
Петрова Пётр,109,3,Севастополь
Попова Екатерина,109,3,Севастополь
Попова Ольга,109,3,Севастополь
Смирнов Анна,109,1,Севастополь
Лебедева Пётр,110,2,Владивосток
Петрова Иван,110,3,Владивосток
Сидоров Анна,110,3,Владивосток
Иванов Наталья,110,1,Калининград
Лебедева Пётр,110,Люкс,Калининград
Новикова Алексей,110,3,Калининград
Сидоров Сергей,110,3,Калининград
Соколов Екатерина,110,Люкс,Калининград
Иванов Дмитрий,110,1,Мурманск
Иванов Екатерина,110,Люкс,Мурманск
Козлов Пётр,110,Люкс,Мурманск
Козлов Сергей,110,1,Мурманск
Кузнецова Дмитрий,110,2,Мурманск
Кузнецова Сергей,110,1,Мурманск
Соколов Иван,110,1,Мурманск
Иванов Алексей,110,3,Одесса
Кузнецова Мария,110,3,Одесса
Кузнецова Сергей,110,1,Одесса
Лебедева Иван,110,2,Одесса
Попова Ольга,110,3,Одесса
Сидоров Мария,110,3,Одесса
Иванов Мария,110,1,Санкт-Петербург
Иванов Сергей,110,1,Санкт-Петербург
Лебедева Мария,110,1,Санкт-Петербург
Попова Екатерина,110,1,Санкт-Петербург
Сидоров Мария,110,3,Санкт-Петербург
Смирнов Иван,110,1,Санкт-Петербург
Соколов Алексей,110,3,Санкт-Петербург
Иванов Екатерина,110,2,Севастополь
Иванов Ольга,110,Люкс,Севастополь
Иванов Сергей,110,2,Севастополь
Козлов Пётр,110,Люкс,Севастополь
Лебедева Екатерина,110,3,Севастополь
Лебедева Мария,110,Люкс,Севастополь
Попова Дмитрий,110,1,Севастополь
Попова Иван,110,Люкс,Севастополь
Соколов Дмитрий,110,2,Севастополь
Соколов Пётр,110,Люкс,Севастополь
Козлов Пётр,111,1,Владивосток
Кузнецова Алексей,111,3,Владивосток
Смирнов Сергей,111,1,Владивосток
Соколов Дмитрий,111,3,Владивосток
Соколов Ольга,111,Люкс,Владивосток
Иванов Дмитрий,111,3,Калининград
Кузнецова Наталья,111,Люкс,Калининград
Лебедева Мария,111,3,Калининград
Лебедева Пётр,111,Люкс,Калининград
Новикова Наталья,111,1,Калининград
Соколов Екатерина,111,Люкс,Калининград
Соколов Ольга,111,2,Калининград
Попова Ольга,111,Люкс,Мурманск
Смирнов Иван,111,3,Мурманск
Иванов Алексей,111,2,Одесса
Козлов Наталья,111,3,Одесса
Кузнецова Дмитрий,111,3,Одесса
Лебедева Сергей,111,1,Одесса
Попова Екатерина,111,2,Одесса
Смирнов Пётр,111,3,Одесса
Иванов Анна,111,Люкс,Санкт-Петербург
Козлов Ольга,111,3,Санкт-Петербург
Кузнецова Анна,111,2,Санкт-Петербург
Попова Дмитрий,111,3,Санкт-Петербург
Смирнов Алексей,111,Люкс,Санкт-Петербург
Лебедева Екатерина,111,Люкс,Севастополь
Смирнов Алексей,111,3,Севастополь
Иванов Дмитрий,112,2,Владивосток
Козлов Екатерина,112,2,Владивосток
Кузнецова Ольга,112,3,Владивосток
Лебедева Пётр,112,1,Владивосток
Сидоров Алексей,112,1,Владивосток
Иванов Екатерина,112,2,Калининград
Кузнецова Анна,112,2,Калининград
Кузнецова Дмитрий,112,Люкс,Калининград
Новикова Мария,112,Люкс,Калининград
Сидоров Анна,112,1,Калининград
Соколов Иван,112,Люкс,Калининград
Иванов Наталья,112,1,Мурманск
Лебедева Иван,112,1,Мурманск
Сидоров Наталья,112,1,Мурманск
Смирнов Анна,112,Люкс,Мурманск
Смирнов Екатерина,112,Люкс,Мурманск
Соколов Иван,112,Люкс,Мурманск
Соколов Пётр,112,2,Мурманск
Козлов Екатерина,112,1,Одесса
Новикова Ольга,112,3,Одесса
Попова Алексей,112,3,Одесса
Смирнов Наталья,112,2,Одесса
Иванов Сергей,112,1,Санкт-Петербург
Сидоров Сергей,112,3,Санкт-Петербург
Новикова Анна,112,Люкс,Севастополь
Новикова Екатерина,112,2,Севастополь
Петрова Дмитрий,112,2,Севастополь
Смирнов Иван,112,Люкс,Севастополь
Лебедева Наталья,113,2,Владивосток
Сидоров Пётр,113,2,Владивосток
Смирнов Дмитрий,113,1,Владивосток
Смирнов Мария,113,1,Владивосток
Соколов Анна,113,3,Владивосток
Соколов Наталья,113,2,Владивосток
Козлов Мария,113,2,Калининград
Кузнецова Анна,113,3,Калининград
Лебедева Екатерина,113,Люкс,Калининград
Попова Алексей,113,1,Калининград
Сидоров Анна,113,3,Калининград
Сидоров Иван,113,2,Калининград
Соколов Мария,113,1,Калининград
Кузнецова Алексей,113,3,Мурманск
Лебедева Анна,113,3,Мурманск
Новикова Мария,113,Люкс,Мурманск
Петрова Екатерина,113,1,Мурманск
Попова Алексей,113,1,Мурманск
Попова Анна,113,Люкс,Мурманск
Сидоров Сергей,113,Люкс,Мурманск
Козлов Анна,113,1,Одесса
Козлов Пётр,113,2,Одесса
Петрова Анна,113,2,Одесса
Попова Дмитрий,113,Люкс,Одесса
Смирнов Анна,113,Люкс,Одесса
Смирнов Дмитрий,113,3,Одесса
Иванов Мария,113,Люкс,Санкт-Петербург
Кузнецова Иван,113,2,Санкт-Петербург
Смирнов Ольга,113,1,Санкт-Петербург
Соколов Иван,113,2,Санкт-Петербург
Лебедева Наталья,113,Люкс,Севастополь
Смирнов Дмитрий,113,Люкс,Севастополь
Кузнецова Иван,114,Люкс,Владивосток
Лебедева Екатерина,114,2,Владивосток
Смирнов Иван,114,Люкс,Владивосток
Иванов Ольга,114,Люкс,Калининград
Козлов Иван,114,Люкс,Калининград
Козлов Мария,114,2,Калининград
Кузнецова Сергей,114,Люкс,Калининград
Лебедева Пётр,114,1,Калининград
Смирнов Екатерина,114,1,Калининград
Иванов Анна,114,1,Мурманск
Кузнецова Иван,114,1,Мурманск
Лебедева Мария,114,Люкс,Мурманск
Лебедева Ольга,114,2,Мурманск
Сидоров Екатерина,114,1,Мурманск
Смирнов Иван,114,2,Мурманск
Козлов Наталья,114,3,Одесса
Иванов Мария,114,2,Санкт-Петербург
Козлов Сергей,114,Люкс,Санкт-Петербург
Кузнецова Ольга,114,Люкс,Санкт-Петербург
Новикова Ольга,114,Люкс,Санкт-Петербург
Новикова Сергей,114,1,Санкт-Петербург
Петрова Алексей,114,3,Санкт-Петербург
Соколов Сергей,114,3,Санкт-Петербург
Иванов Иван,114,1,Севастополь
Лебедева Сергей,114,3,Севастополь
Петрова Екатерина,114,3,Севастополь
Сидоров Екатерина,114,Люкс,Севастополь
Сидоров Пётр,114,2,Севастополь
Смирнов Ольга,114,2,Севастополь
Иванов Иван,115,3,Владивосток
Козлов Дмитрий,115,Люкс,Владивосток
Козлов Мария,115,Люкс,Владивосток
Козлов Наталья,115,Люкс,Владивосток
Лебедева Анна,115,1,Владивосток
Новикова Анна,115,Люкс,Владивосток
Новикова Иван,115,Люкс,Владивосток
Иванов Мария,115,3,Мурманск
Иванов Наталья,115,2,Мурманск
Иванов Ольга,115,1,Мурманск
Новикова Мария,115,2,Мурманск
Смирнов Иван,115,2,Мурманск
Смирнов Ольга,115,2,Мурманск
Козлов Анна,115,3,Одесса
Лебедева Алексей,115,2,Одесса
Лебедева Пётр,115,2,Одесса
Новикова Дмитрий,115,1,Одесса
Новикова Мария,115,2,Одесса
Петрова Анна,115,3,Одесса
Соколов Мария,115,3,Одесса
Козлов Екатерина,115,3,Санкт-Петербург
Козлов Пётр,115,2,Санкт-Петербург
Кузнецова Мария,115,3,Санкт-Петербург
Кузнецова Наталья,115,2,Санкт-Петербург
Лебедева Екатерина,115,1,Санкт-Петербург
Новикова Дмитрий,115,2,Санкт-Петербург
Попова Анна,115,3,Санкт-Петербург
Смирнов Екатерина,115,1,Санкт-Петербург
Смирнов Наталья,115,2,Санкт-Петербург
Козлов Пётр,115,Люкс,Севастополь
Петрова Екатерина,115,3,Севастополь
Попова Наталья,115,2,Севастополь
Соколов Пётр,115,2,Севастополь
Иванов Ольга,116,2,Владивосток
Иванов Сергей,116,2,Владивосток
Козлов Дмитрий,116,3,Владивосток
Лебедева Дмитрий,116,1,Владивосток
Новикова Мария,116,3,Владивосток
Петрова Иван,116,2,Владивосток
Сидоров Сергей,116,1,Владивосток
Соколов Мария,116,3,Владивосток
Соколов Пётр,116,2,Владивосток
Козлов Наталья,116,1,Калининград
Кузнецова Алексей,116,2,Калининград
Новикова Анна,116,3,Калининград
Новикова Иван,116,3,Калининград
Петрова Алексей,116,1,Калининград
Соколов Анна,116,Люкс,Калининград
Новикова Екатерина,116,2,Мурманск
Сидоров Мария,116,2,Мурманск
Смирнов Иван,116,2,Мурманск
Иванов Екатерина,116,1,Одесса
Козлов Иван,116,Люкс,Одесса
Кузнецова Пётр,116,2,Одесса
Лебедева Алексей,116,2,Одесса
Лебедева Мария,116,1,Одесса
Лебедева Пётр,116,Люкс,Одесса
Новикова Ольга,116,1,Одесса
Иванов Мария,116,1,Санкт-Петербург
Козлов Алексей,116,1,Санкт-Петербург
Новикова Анна,116,2,Санкт-Петербург
Сидоров Анна,116,1,Санкт-Петербург
Сидоров Пётр,116,2,Санкт-Петербург
Соколов Анна,116,2,Санкт-Петербург
Соколов Иван,116,Люкс,Санкт-Петербург
Смирнов Пётр,116,3,Севастополь
Соколов Анна,116,3,Севастополь
Козлов Иван,117,Люкс,Владивосток
Попова Ольга,117,Люкс,Владивосток
Иванов Анна,117,3,Калининград
Козлов Сергей,117,Люкс,Калининград
Лебедева Сергей,117,3,Калининград
Петрова Ольга,117,1,Калининград
Сидоров Мария,117,3,Калининград
Смирнов Дмитрий,117,3,Калининград
Иванов Дмитрий,117,3,Мурманск
Козлов Анна,117,2,Мурманск
Кузнецова Алексей,117,1,Мурманск
Козлов Иван,117,Люкс,Одесса
Кузнецова Иван,117,Люкс,Одесса
Кузнецова Наталья,117,2,Одесса
Попова Ольга,117,2,Одесса
Сидоров Дмитрий,117,3,Одесса
Иванов Наталья,117,1,Санкт-Петербург
Кузнецова Иван,117,3,Санкт-Петербург
Лебедева Иван,117,3,Санкт-Петербург
Лебедева Сергей,117,1,Санкт-Петербург
Петрова Екатерина,117,1,Санкт-Петербург
Сидоров Ольга,117,2,Санкт-Петербург
Смирнов Анна,117,2,Санкт-Петербург
Соколов Екатерина,117,3,Санкт-Петербург
Иванов Мария,117,1,Севастополь
Лебедева Дмитрий,117,1,Севастополь
Попова Ольга,117,1,Севастополь
Соколов Екатерина,117,1,Севастополь
Козлов Анна,118,2,Владивосток
Кузнецова Ольга,118,1,Владивосток
Лебедева Сергей,118,2,Владивосток
Новикова Мария,118,Люкс,Владивосток
Петрова Анна,118,2,Владивосток
Попова Пётр,118,2,Владивосток
Иванов Иван,118,Люкс,Калининград
Козлов Мария,118,3,Калининград
Кузнецова Ольга,118,1,Калининград
Сидоров Екатерина,118,1,Калининград
Смирнов Анна,118,Люкс,Калининград
Иванов Мария,118,3,Мурманск
Козлов Алексей,118,Люкс,Мурманск
Козлов Иван,118,3,Мурманск
Лебедева Алексей,118,1,Мурманск
Лебедева Сергей,118,3,Мурманск
Попова Ольга,118,Люкс,Мурманск
Сидоров Анна,118,1,Мурманск
Сидоров Пётр,118,2,Мурманск
Иванов Ольга,118,1,Одесса
Козлов Алексей,118,Люкс,Одесса
Лебедева Дмитрий,118,3,Одесса
Лебедева Иван,118,2,Одесса
Новикова Наталья,118,3,Одесса
Петрова Сергей,118,2,Одесса
Смирнов Иван,118,3,Одесса
Соколов Анна,118,3,Одесса
Соколов Мария,118,Люкс,Одесса
Кузнецова Ольга,118,2,Санкт-Петербург
Кузнецова Сергей,118,1,Санкт-Петербург
Сидоров Иван,118,3,Санкт-Петербург
Козлов Ольга,118,2,Севастополь
Кузнецова Ольга,118,Люкс,Севастополь
Петрова Анна,118,1,Севастополь
Сидоров Анна,118,Люкс,Севастополь
Козлов Мария,119,Люкс,Владивосток
Кузнецова Сергей,119,1,Владивосток
Лебедева Иван,119,3,Владивосток
Лебедева Мария,119,2,Владивосток
Новикова Екатерина,119,Люкс,Владивосток
Иванов Иван,119,Люкс,Калининград
Козлов Пётр,119,Люкс,Калининград
Кузнецова Наталья,119,3,Калининград
Петрова Ольга,119,Люкс,Калининград
Смирнов Екатерина,119,3,Калининград
Соколов Наталья,119,Люкс,Калининград
Новикова Ольга,119,3,Мурманск
Новикова Пётр,119,2,Мурманск
Попова Дмитрий,119,2,Мурманск
Соколов Мария,119,Люкс,Мурманск
Лебедева Ольга,119,1,Одесса
Новикова Сергей,119,Люкс,Одесса
Петрова Дмитрий,119,Люкс,Одесса
Петрова Иван,119,Люкс,Одесса
Козлов Мария,119,2,Санкт-Петербург
Лебедева Иван,119,Люкс,Санкт-Петербург
Сидоров Анна,119,3,Санкт-Петербург
Смирнов Алексей,119,1,Санкт-Петербург
Смирнов Пётр,119,3,Санкт-Петербург
Козлов Пётр,119,Люкс,Севастополь
Новикова Сергей,119,Люкс,Севастополь
Попова Пётр,119,Люкс,Севастополь
Петрова Анна,120,3,Владивосток
Попова Анна,120,1,Владивосток
Сидоров Алексей,120,2,Владивосток
Смирнов Алексей,120,1,Владивосток
Смирнов Анна,120,1,Владивосток
Соколов Екатерина,120,Люкс,Владивосток
Иванов Наталья,120,2,Калининград
Козлов Дмитрий,120,3,Калининград
Сидоров Мария,120,2,Калининград
Лебедева Дмитрий,120,2,Мурманск
Петрова Екатерина,120,1,Мурманск
Попова Дмитрий,120,2,Мурманск
Сидоров Екатерина,120,Люкс,Мурманск
Сидоров Наталья,120,Люкс,Мурманск
Сидоров Ольга,120,1,Мурманск
Козлов Наталья,120,2,Одесса
Кузнецова Алексей,120,1,Одесса
Смирнов Мария,120,3,Одесса
Попова Алексей,120,1,Санкт-Петербург
Попова Иван,120,1,Санкт-Петербург
Сидоров Екатерина,120,Люкс,Санкт-Петербург
Сидоров Иван,120,3,Санкт-Петербург
Соколов Наталья,120,Люкс,Санкт-Петербург
Козлов Ольга,120,3,Севастополь
Новикова Пётр,120,1,Севастополь
Новикова Сергей,120,Люкс,Севастополь
Попова Анна,120,1,Севастополь
Попова Иван,120,Люкс,Севастополь
Сидоров Мария,120,3,Севастополь
Соколов Сергей,120,1,Севастополь
Иванов Екатерина,121,3,Владивосток
Петрова Алексей,121,3,Владивосток
Попова Алексей,121,1,Владивосток
Новикова Дмитрий,121,Люкс,Калининград
Сидоров Дмитрий,121,3,Калининград
Иванов Дмитрий,121,Люкс,Мурманск
Иванов Наталья,121,Люкс,Мурманск
Козлов Пётр,121,Люкс,Мурманск
Козлов Сергей,121,3,Мурманск
Кузнецова Иван,121,1,Мурманск
Попова Ольга,121,Люкс,Мурманск
Сидоров Наталья,121,2,Мурманск
Соколов Мария,121,2,Мурманск
Лебедева Пётр,121,Люкс,Одесса
Новикова Дмитрий,121,2,Одесса
Петрова Наталья,121,1,Одесса
Попова Ольга,121,1,Одесса
Попова Пётр,121,Люкс,Одесса
Попова Сергей,121,3,Одесса
Кузнецова Пётр,121,2,Санкт-Петербург
Лебедева Пётр,121,1,Санкт-Петербург
Сидоров Екатерина,121,2,Санкт-Петербург
Сидоров Ольга,121,3,Санкт-Петербург
Сидоров Сергей,121,1,Санкт-Петербург
Козлов Екатерина,121,1,Севастополь
Кузнецова Пётр,121,2,Севастополь
Попова Екатерина,121,2,Севастополь
Попова Пётр,121,Люкс,Севастополь
Соколов Мария,121,3,Севастополь
Иванов Наталья,122,3,Владивосток
Кузнецова Мария,122,2,Владивосток
Лебедева Иван,122,3,Владивосток
Смирнов Мария,122,Люкс,Владивосток
Смирнов Пётр,122,1,Владивосток
