ФИО пассажира,Номер каюты,Тип каюты,Порт назначения
Новикова Екатерина,119,Люкс,Владивосток
Козлов Пётр,119,Люкс,Калининград
Смирнов Екатерина,119,3,Калининград
Соколов Наталья,119,Люкс,Калининград
Соколов Мария,119,Люкс,Мурманск
Новикова Сергей,119,Люкс,Одесса
Петрова Дмитрий,119,Люкс,Одесса
Петрова Иван,119,Люкс,Одесса
Козлов Мария,119,2,Санкт-Петербург
Сидоров Анна,119,3,Санкт-Петербург
Смирнов Алексей,119,1,Санкт-Петербург
Новикова Сергей,119,Люкс,Севастополь
Смирнов Анна,120,1,Владивосток
Козлов Дмитрий,120,3,Калининград
Сидоров Мария,120,2,Калининград
Попова Алексей,120,1,Санкт-Петербург
Попова Иван,120,1,Санкт-Петербург
Соколов Наталья,120,Люкс,Санкт-Петербург
Новикова Сергей,120,Люкс,Севастополь
Попова Анна,120,1,Севастополь
Попова Иван,120,Люкс,Севастополь
Сидоров Мария,120,3,Севастополь
Иванов Екатерина,121,3,Владивосток
Козлов Пётр,121,Люкс,Мурманск
Козлов Сергей,121,3,Мурманск
Новикова Дмитрий,121,2,Одесса
Сидоров Екатерина,121,2,Санкт-Петербург
Кузнецова Пётр,121,2,Севастополь
Кузнецова Мария,122,2,Владивосток
Соколов Наталья,122,3,Мурманск
Иванов Дмитрий,122,Люкс,Одесса
Иванов Ольга,122,3,Одесса
Соколов Алексей,122,Люкс,Одесса
Козлов Иван,122,2,Санкт-Петербург
Лебедева Мария,122,2,Санкт-Петербург
Соколов Анна,122,1,Севастополь
Новикова Пётр,123,2,Калининград
Иванов Ольга,123,2,Мурманск
Козлов Мария,123,Люкс,Одесса
Новикова Наталья,123,3,Одесса
Попова Анна,123,1,Одесса
Попова Мария,123,3,Севастополь
Соколов Иван,124,3,Владивосток
Козлов Анна,124,Люкс,Калининград
Козлов Екатерина,124,1,Калининград
Козлов Пётр,124,2,Мурманск
Соколов Пётр,124,Люкс,Мурманск
Иванов Анна,124,Люкс,Одесса
Смирнов Иван,124,2,Одесса
Лебедева Алексей,124,Люкс,Севастополь
Новикова Ольга,124,Люкс,Севастополь
Смирнов Наталья,125,1,Владивосток
Попова Ольга,125,1,Калининград
Козлов Алексей,125,1,Мурманск
Новикова Мария,125,1,Мурманск
Соколов Пётр,125,Люкс,Мурманск
Лебедева Дмитрий,125,Люкс,Одесса
Новикова Мария,125,Люкс,Санкт-Петербург
Козлов Ольга,125,2,Севастополь
Смирнов Пётр,125,Люкс,Севастополь
Козлов Дмитрий,126,Люкс,Владивосток
Лебедева Алексей,126,2,Мурманск
Лебедева Пётр,126,Люкс,Мурманск
Смирнов Алексей,126,3,Мурманск
Козлов Ольга,126,Люкс,Одесса
Лебедева Наталья,126,3,Одесса
Лебедева Сергей,126,1,Одесса
Козлов Мария,126,1,Санкт-Петербург
Новикова Сергей,126,2,Санкт-Петербург
Петрова Ольга,126,1,Санкт-Петербург
Кузнецова Иван,126,1,Севастополь
Лебедева Иван,126,2,Севастополь
Петрова Екатерина,126,Люкс,Севастополь
Попова Екатерина,127,2,Владивосток
Сидоров Ольга,127,2,Владивосток
Козлов Дмитрий,127,1,Калининград
Козлов Ольга,127,Люкс,Калининград
Кузнецова Анна,127,Люкс,Калининград
Новикова Дмитрий,127,2,Калининград
Новикова Иван,127,3,Санкт-Петербург
Сидоров Иван,127,3,Санкт-Петербург
Козлов Мария,127,3,Севастополь
Кузнецова Наталья,127,1,Севастополь
Сидоров Мария,127,1,Севастополь
Смирнов Пётр,127,2,Севастополь
Кузнецова Екатерина,128,2,Калининград
Соколов Иван,128,Люкс,Калининград
Соколов Ольга,128,2,Мурманск
Соколов Иван,128,Люкс,Одесса
Лебедева Ольга,128,1,Санкт-Петербург
Попова Анна,128,Люкс,Санкт-Петербург
Попова Анна,128,3,Севастополь
Попова Сергей,128,Люкс,Севастополь
Иванов Алексей,129,2,Владивосток
Смирнов Алексей,129,1,Владивосток
Новикова Екатерина,129,2,Калининград
Попова Дмитрий,129,Люкс,Калининград
Новикова Мария,129,3,Мурманск
Сидоров Дмитрий,129,Люкс,Мурманск
Смирнов Екатерина,129,2,Мурманск
Лебедева Сергей,129,Люкс,Одесса
Иванов Ольга,129,1,Севастополь
Соколов Анна,129,2,Севастополь
Козлов Наталья,130,3,Владивосток
Соколов Дмитрий,130,2,Владивосток
Козлов Мария,130,3,Калининград
Новикова Мария,130,1,Калининград
Иванов Мария,130,1,Одесса
Лебедева Алексей,130,1,Одесса
Лебедева Екатерина,130,3,Одесса
Петрова Наталья,130,Люкс,Санкт-Петербург
Кузнецова Наталья,130,Люкс,Севастополь
Иванов Ольга,131,3,Владивосток
Кузнецова Дмитрий,131,3,Владивосток
Кузнецова Мария,131,1,Владивосток
Лебедева Пётр,131,2,Владивосток
Петрова Пётр,131,Люкс,Владивосток
Лебедева Екатерина,131,Люкс,Мурманск
Соколов Наталья,131,Люкс,Мурманск
Кузнецова Анна,131,Люкс,Одесса
Смирнов Алексей,131,Люкс,Одесса
Кузнецова Екатерина,131,1,Санкт-Петербург
Новикова Сергей,131,3,Санкт-Петербург
Новикова Наталья,132,Люкс,Владивосток
Смирнов Иван,132,3,Владивосток
Кузнецова Екатерина,132,2,Калининград
Петрова Дмитрий,132,3,Калининград
Иванов Екатерина,132,2,Мурманск
Иванов Пётр,132,Люкс,Мурманск
Козлов Иван,132,1,Мурманск
Кузнецова Дмитрий,132,2,Мурманск
Попова Мария,132,1,Мурманск
Соколов Иван,132,1,Мурманск
Козлов Дмитрий,132,2,Одесса
Козлов Екатерина,132,2,Одесса
Петрова Иван,132,2,Одесса
Новикова Анна,132,Люкс,Севастополь
Новикова Ольга,132,Люкс,Севастополь
Иванов Дмитрий,133,Люкс,Владивосток
Козлов Иван,133,2,Владивосток
Новикова Ольга,133,1,Владивосток
Кузнецова Сергей,133,3,Калининград
Лебедева Анна,133,2,Калининград
Лебедева Ольга,133,2,Калининград
Петрова Екатерина,133,1,Калининград
Козлов Анна,133,Люкс,Мурманск
Соколов Мария,133,3,Мурманск
Иванов Наталья,133,1,Одесса
Сидоров Анна,133,2,Санкт-Петербург
Новикова Екатерина,133,2,Севастополь
Новикова Мария,133,2,Севастополь
Лебедева Дмитрий,134,2,Владивосток
Соколов Сергей,134,1,Владивосток
Лебедева Ольга,134,1,Калининград
Лебедева Екатерина,134,3,Мурманск
Новикова Анна,134,2,Мурманск
Иванов Мария,134,3,Севастополь
Козлов Ольга,134,2,Севастополь
Петрова Дмитрий,134,1,Севастополь
Козлов Сергей,135,3,Владивосток
Лебедева Наталья,135,3,Владивосток
Новикова Пётр,135,1,Владивосток
Новикова Мария,135,Люкс,Мурманск
Смирнов Сергей,135,3,Мурманск
Смирнов Пётр,135,Люкс,Одесса
Смирнов Пётр,135,Люкс,Санкт-Петербург
Соколов Наталья,135,Люкс,Санкт-Петербург
Иванов Пётр,135,2,Севастополь
Лебедева Наталья,135,3,Севастополь
Новикова Пётр,135,3,Севастополь
Петрова Сергей,135,1,Севастополь
Попова Анна,136,1,Калининград
Соколов Дмитрий,136,1,Калининград
Козлов Наталья,136,Люкс,Мурманск
Кузнецова Пётр,136,1,Мурманск
Лебедева Наталья,136,3,Мурманск
Смирнов Екатерина,136,3,Одесса
Лебедева Ольга,136,3,Санкт-Петербург
Иванов Наталья,136,3,Севастополь
Попова Иван,136,3,Севастополь
Соколов Екатерина,136,3,Севастополь
Соколов Пётр,136,2,Севастополь
Лебедева Анна,137,1,Калининград
Лебедева Дмитрий,137,Люкс,Калининград
Лебедева Наталья,137,3,Калининград
Сидоров Екатерина,137,Люкс,Калининград
Соколов Дмитрий,137,2,Мурманск
Лебедева Наталья,137,2,Одесса
Попова Алексей,137,2,Одесса
Лебедева Пётр,137,3,Санкт-Петербург
Петрова Пётр,137,Люкс,Санкт-Петербург
Попова Пётр,137,2,Санкт-Петербург
Петрова Пётр,137,2,Севастополь
Попова Ольга,137,1,Севастополь
Сидоров Сергей,137,3,Севастополь
Сидоров Сергей,138,2,Владивосток
Кузнецова Ольга,138,2,Калининград
Новикова Иван,138,1,Мурманск
Кузнецова Екатерина,138,2,Одесса
Лебедева Дмитрий,138,1,Одесса
Сидоров Сергей,138,1,Одесса
Петрова Екатерина,138,3,Санкт-Петербург
Лебедева Пётр,138,1,Севастополь
Смирнов Наталья,138,3,Севастополь
Попова Алексей,139,3,Владивосток
Смирнов Дмитрий,139,1,Мурманск
Кузнецова Мария,139,Люкс,Одесса
Петрова Иван,139,3,Одесса
Попова Иван,139,2,Одесса
Иванов Анна,139,3,Санкт-Петербург
Кузнецова Сергей,139,3,Санкт-Петербург
Новикова Дмитрий,139,3,Санкт-Петербург
Новикова Наталья,139,1,Санкт-Петербург
Сидоров Екатерина,139,3,Санкт-Петербург
Соколов Алексей,139,1,Санкт-Петербург
Лебедева Ольга,139,Люкс,Севастополь
Новикова Алексей,139,2,Севастополь
Соколов Пётр,139,1,Севастополь
Иванов Наталья,140,2,Владивосток
Лебедева Наталья,140,1,Владивосток
Соколов Ольга,140,3,Владивосток
Сидоров Екатерина,140,2,Калининград
Сидоров Пётр,140,1,Калининград
Попова Ольга,140,2,Мурманск
Козлов Пётр,140,Люкс,Одесса
Сидоров Алексей,140,3,Одесса
Сидоров Сергей,140,1,Одесса
Иванов Дмитрий,140,Люкс,Санкт-Петербург
Попова Дмитрий,140,2,Санкт-Петербург
Соколов Сергей,140,Люкс,Санкт-Петербург
Попова Иван,140,Люкс,Севастополь
Соколов Сергей,140,2,Севастополь
Козлов Иван,141,Люкс,Владивосток
Лебедева Иван,141,2,Владивосток
Новикова Дмитрий,141,Люкс,Владивосток
Смирнов Алексей,141,2,Владивосток
Смирнов Иван,141,Люкс,Калининград
Козлов Иван,141,2,Одесса
Сидоров Екатерина,141,2,Одесса
Смирнов Дмитрий,141,1,Одесса
Петрова Сергей,141,3,Санкт-Петербург
Попова Ольга,141,Люкс,Севастополь
Козлов Наталья,142,2,Владивосток
Кузнецова Анна,142,1,Калининград
Кузнецова Мария,142,3,Калининград
Попова Пётр,142,Люкс,Калининград
Сидоров Мария,142,Люкс,Одесса
Соколов Алексей,142,3,Санкт-Петербург
Сидоров Мария,143,1,Владивосток
Соколов Иван,143,3,Владивосток
Попова Екатерина,143,1,Мурманск
Соколов Наталья,143,2,Мурманск
Иванов Мария,143,2,Одесса
Кузнецова Наталья,143,Люкс,Одесса
Соколов Алексей,143,Люкс,Одесса
Соколов Иван,143,2,Одесса
Соколов Наталья,143,3,Одесса
Кузнецова Дмитрий,143,1,Санкт-Петербург
Новикова Анна,143,Люкс,Севастополь
Иванов Иван,144,2,Владивосток
Козлов Иван,144,1,Калининград
Сидоров Пётр,144,Люкс,Калининград
Козлов Мария,144,1,Мурманск
Попова Дмитрий,144,Люкс,Санкт-Петербург
Попова Ольга,144,2,Санкт-Петербург
Попова Пётр,144,2,Севастополь
Петрова Дмитрий,145,2,Владивосток
Смирнов Мария,145,3,Калининград
Новикова Пётр,145,Люкс,Мурманск
Смирнов Дмитрий,145,2,Одесса
Кузнецова Пётр,145,2,Санкт-Петербург
Сидоров Сергей,145,1,Санкт-Петербург
Иванов Екатерина,145,2,Севастополь
Новикова Анна,145,1,Севастополь
Попова Иван,145,2,Севастополь
Смирнов Иван,145,2,Севастополь
Лебедева Мария,146,Люкс,Владивосток
Смирнов Алексей,146,1,Владивосток
Смирнов Сергей,146,Люкс,Калининград
Сидоров Екатерина,146,Люкс,Мурманск
Кузнецова Алексей,146,3,Одесса
Новикова Сергей,146,Люкс,Одесса
Сидоров Пётр,146,Люкс,Одесса
Лебедева Мария,146,Люкс,Санкт-Петербург
Новикова Екатерина,146,2,Санкт-Петербург
Попова Сергей,146,3,Санкт-Петербург
Смирнов Екатерина,146,3,Санкт-Петербург
Смирнов Пётр,146,2,Санкт-Петербург
Козлов Сергей,146,1,Севастополь
Кузнецова Иван,146,3,Севастополь
Новикова Наталья,146,3,Севастополь
Сидоров Иван,146,3,Севастополь
Смирнов Иван,147,2,Владивосток
Лебедева Наталья,147,Люкс,Калининград
Смирнов Сергей,147,2,Калининград
Кузнецова Екатерина,147,2,Мурманск
Кузнецова Иван,147,2,Мурманск
Лебедева Анна,147,3,Мурманск
Петрова Анна,147,Люкс,Мурманск
Соколов Дмитрий,147,Люкс,Мурманск
Петрова Дмитрий,147,Люкс,Одесса
Соколов Екатерина,147,1,Одесса
Соколов Сергей,147,2,Одесса
Новикова Дмитрий,147,3,Севастополь
Новикова Анна,148,3,Калининград
Сидоров Алексей,148,1,Одесса
Сидоров Наталья,148,1,Одесса
Козлов Ольга,148,2,Санкт-Петербург
Кузнецова Мария,148,Люкс,Санкт-Петербург
Лебедева Мария,148,2,Санкт-Петербург
Попова Екатерина,148,3,Санкт-Петербург
Лебедева Иван,148,Люкс,Севастополь
Лебедева Наталья,148,1,Севастополь
Иванов Екатерина,149,3,Владивосток
Козлов Дмитрий,149,2,Владивосток
Кузнецова Екатерина,149,Люкс,Владивосток
Новикова Алексей,149,3,Владивосток
Попова Дмитрий,149,1,Владивосток
Попова Екатерина,149,3,Владивосток
Новикова Екатерина,149,Люкс,Калининград
Смирнов Пётр,149,3,Калининград
Смирнов Сергей,149,1,Калининград
Иванов Алексей,149,1,Одесса
Сидоров Дмитрий,149,1,Одесса
Новикова Ольга,149,2,Санкт-Петербург
Кузнецова Наталья,149,Люкс,Севастополь
Лебедева Екатерина,149,1,Севастополь
Новикова Ольга,149,3,Севастополь
Петрова Ольга,149,Люкс,Севастополь
Попова Екатерина,149,2,Севастополь
Соколов Ольга,149,2,Севастополь
Новикова Сергей,150,2,Владивосток
Иванов Пётр,150,3,Мурманск
Кузнецова Алексей,150,Люкс,Мурманск
Кузнецова Анна,150,2,Одесса
Новикова Мария,150,2,Одесса
Сидоров Ольга,150,Люкс,Одесса
Попова Екатерина,150,3,Санкт-Петербург
Попова Сергей,150,3,Санкт-Петербург
Новикова Наталья,151,3,Владивосток
Козлов Дмитрий,151,2,Калининград
Смирнов Ольга,151,3,Калининград
Кузнецова Екатерина,151,1,Мурманск
Кузнецова Сергей,151,2,Одесса
Петрова Ольга,151,1,Одесса
Смирнов Анна,151,2,Одесса
Смирнов Ольга,151,Люкс,Одесса
Соколов Наталья,151,1,Одесса
Попова Иван,151,Люкс,Санкт-Петербург
Сидоров Наталья,151,2,Санкт-Петербург
Кузнецова Пётр,151,3,Севастополь
Петрова Наталья,151,3,Севастополь
Попова Дмитрий,152,2,Владивосток
Сидоров Наталья,152,3,Владивосток
Смирнов Анна,152,1,Владивосток
Петрова Наталья,152,3,Калининград
Сидоров Дмитрий,152,3,Калининград
Иванов Наталья,152,2,Мурманск
Сидоров Пётр,152,1,Мурманск
Соколов Наталья,152,1,Мурманск
Кузнецова Ольга,152,Люкс,Одесса
Новикова Ольга,152,Люкс,Одесса
Новикова Пётр,152,Люкс,Санкт-Петербург
Смирнов Сергей,152,3,Санкт-Петербург
Петрова Дмитрий,152,Люкс,Севастополь
Попова Екатерина,153,1,Владивосток
Соколов Мария,153,1,Калининград
Иванов Пётр,153,1,Мурманск
Новикова Сергей,153,2,Мурманск
Козлов Наталья,153,Люкс,Одесса
Попова Дмитрий,153,3,Санкт-Петербург
Соколов Мария,153,Люкс,Санкт-Петербург
Смирнов Дмитрий,153,1,Севастополь
Иванов Алексей,154,3,Владивосток
Лебедева Иван,154,3,Владивосток
Соколов Сергей,154,1,Владивосток
Козлов Екатерина,154,2,Мурманск
Лебедева Екатерина,154,3,Мурманск
Смирнов Анна,154,1,Мурманск
Козлов Дмитрий,154,1,Одесса
Смирнов Анна,154,1,Одесса
Кузнецова Алексей,154,1,Санкт-Петербург
Лебедева Анна,154,1,Санкт-Петербург
Иванов Ольга,154,1,Севастополь
Кузнецова Иван,154,2,Севастополь
Сидоров Пётр,155,1,Владивосток
Сидоров Дмитрий,155,1,Калининград
Лебедева Алексей,155,2,Мурманск
Смирнов Ольга,155,Люкс,Мурманск
Сидоров Наталья,155,2,Одесса
Сидоров Пётр,155,2,Одесса
Козлов Наталья,155,1,Санкт-Петербург
Козлов Пётр,155,Люкс,Севастополь
Лебедева Алексей,155,1,Севастополь
Сидоров Ольга,155,3,Севастополь
Соколов Дмитрий,155,1,Севастополь
Соколов Сергей,155,Люкс,Севастополь
Кузнецова Ольга,156,1,Владивосток
Новикова Наталья,156,2,Калининград
Иванов Анна,156,2,Мурманск
Иванов Мария,156,1,Санкт-Петербург
Новикова Алексей,156,1,Санкт-Петербург
Новикова Наталья,156,1,Санкт-Петербург
Кузнецова Алексей,156,1,Севастополь
Лебедева Пётр,156,1,Севастополь
Петрова Пётр,156,Люкс,Севастополь
Иванов Дмитрий,157,2,Владивосток
Лебедева Анна,157,1,Владивосток
Сидоров Ольга,157,1,Владивосток
Новикова Ольга,157,3,Калининград
Соколов Екатерина,157,2,Калининград
Соколов Иван,157,Люкс,Калининград
Лебедева Ольга,157,3,Мурманск
Козлов Сергей,157,3,Одесса
Лебедева Анна,157,Люкс,Одесса
Лебедева Иван,157,1,Одесса
Лебедева Сергей,157,3,Одесса
Смирнов Пётр,157,Люкс,Одесса
Иванов Наталья,157,2,Санкт-Петербург
Сидоров Иван,157,1,Санкт-Петербург
Козлов Дмитрий,157,1,Севастополь
Кузнецова Сергей,158,1,Владивосток
Козлов Анна,158,Люкс,Калининград
Новикова Мария,158,1,Калининград
Лебедева Сергей,158,2,Мурманск
Петрова Екатерина,158,2,Мурманск
Смирнов Пётр,158,2,Мурманск
Попова Пётр,158,1,Одесса
Лебедева Анна,158,1,Санкт-Петербург
Соколов Мария,158,Люкс,Санкт-Петербург
Иванов Ольга,158,3,Севастополь
Петрова Екатерина,158,3,Севастополь
Петрова Мария,158,3,Севастополь
Сидоров Пётр,158,1,Севастополь
Новикова Мария,159,Люкс,Владивосток
Петрова Наталья,159,2,Владивосток
Соколов Анна,159,Люкс,Владивосток
Соколов Дмитрий,159,2,Владивосток
Сидоров Пётр,159,1,Калининград
Соколов Иван,159,3,Калининград
Сидоров Мария,159,Люкс,Мурманск
Лебедева Сергей,159,Люкс,Одесса
Смирнов Пётр,159,2,Одесса
Лебедева Анна,159,1,Санкт-Петербург
Соколов Мария,159,1,Санкт-Петербург
Петрова Наталья,159,1,Севастополь
Кузнецова Дмитрий,160,3,Калининград
Лебедева Сергей,160,3,Калининград
Попова Алексей,160,1,Мурманск
Новикова Екатерина,160,2,Одесса
Петрова Пётр,160,2,Одесса
Сидоров Алексей,160,2,Одесса
Соколов Ольга,160,2,Одесса
Попова Иван,160,Люкс,Санкт-Петербург
Смирнов Наталья,160,2,Санкт-Петербург
Петрова Дмитрий,160,3,Севастополь
Кузнецова Ольга,161,3,Владивосток
Попова Сергей,161,2,Владивосток
Сидоров Алексей,161,3,Владивосток
Сидоров Дмитрий,161,2,Калининград
Сидоров Наталья,161,Люкс,Калининград
Смирнов Екатерина,161,2,Калининград
Смирнов Сергей,161,1,Калининград
Новикова Алексей,161,2,Мурманск
Попова Ольга,161,Люкс,Мурманск
Смирнов Мария,161,Люкс,Одесса
Козлов Алексей,161,1,Санкт-Петербург
Новикова Пётр,161,2,Санкт-Петербург
Сидоров Ольга,161,2,Санкт-Петербург
Соколов Пётр,161,2,Санкт-Петербург
Лебедева Анна,161,3,Севастополь
Попова Мария,161,2,Севастополь
Петрова Наталья,162,1,Владивосток
Козлов Иван,162,2,Мурманск
Кузнецова Екатерина,162,3,Одесса
Смирнов Екатерина,162,3,Санкт-Петербург
Новикова Алексей,162,1,Севастополь
Попова Наталья,162,3,Севастополь
Иванов Анна,163,1,Владивосток
Лебедева Пётр,163,1,Владивосток
Иванов Алексей,163,Люкс,Калининград
Козлов Екатерина,163,1,Калининград
Петрова Наталья,163,1,Калининград
Сидоров Дмитрий,163,1,Калининград
Лебедева Мария,163,2,Мурманск
Попова Алексей,163,1,Мурманск
Попова Екатерина,163,2,Мурманск
Сидоров Иван,163,2,Мурманск
Соколов Алексей,163,Люкс,Одесса
Иванов Анна,163,Люкс,Санкт-Петербург
Лебедева Пётр,163,Люкс,Санкт-Петербург
